date,option_mtm,delta_pnl,gamma_pnl,vega_pnl,theta_pnl,vanna_pnl,volga_pnl,delta_hedge_pnl,txn_cost,total_pnl,n_fills
2026-01-02,133.3600,82.2647,29.1606,-9.0785,-8.2521,0.0932,0.0057,1388.1250,15.5750,1505.9100,73
2026-01-05,-3.8400,65.3943,21.4607,55.6622,-112.0708,-0.4941,2.6915,28240.5700,23.2100,28213.5200,193
2026-01-06,57.6900,501.9274,26.4013,-5.3768,-204.1330,0.5717,2.4429,24870.5250,24.2650,24903.9500,244
2026-01-07,26.4800,-663.9884,67.9991,-25.7115,-233.1715,-2.0301,5.3750,-13820.5600,74.1150,-13868.1950,350
2026-01-08,-447.2700,643.3016,153.5029,108.7637,-381.4916,-8.3219,6.7049,-50504.4300,101.8350,-51053.5350,396
2026-01-09,-19.2800,225.9781,285.4568,-925.9024,-386.4269,-1.0319,16.0913,24143.4550,95.9450,24028.2300,403
2026-01-12,-336.5400,2679.7374,78.5201,743.9784,-474.9687,-25.3421,66.6269,140673.2550,63.8500,140272.8650,354
2026-01-13,1948.2300,-2174.6552,341.7110,4693.9788,-634.5575,268.9061,214.4256,479144.0800,213.9100,480878.4000,427
2026-01-14,-206.6600,2703.1083,930.2382,-3679.5256,-854.1331,-236.7345,313.9266,-595755.5450,222.5050,-596184.7100,445
2026-01-15,-1880.3400,-436.0347,366.8079,1334.5880,-623.1062,-247.0396,214.8162,-83187.1900,179.3450,-85246.8750,433
2026-01-16,9084.4700,-2856.0658,4003.0279,-2291.8569,-721.3437,11.4273,263.9226,-78112.2700,172.6450,-69200.4450,422
2026-01-20,285.6500,700.7407,795.7165,10910.9328,-1817.7402,8.6108,6.0019,987710.1150,426.8800,987568.8850,451
2026-01-21,-4183.6150,4481.1525,1782.4445,-4522.7047,-1554.7502,-194.3636,25.1247,-744595.3900,382.0450,-749161.0500,453
2026-01-22,-3131.8150,-909.1790,417.3001,-2891.1553,-1324.3236,21.0186,71.3365,-143998.6400,256.5900,-147387.0450,432
2026-01-23,2927.1650,2054.5349,598.6642,-932.4201,-1458.9228,50.7014,29.3931,70685.3750,296.5100,73316.0300,439
2026-01-26,-613.5350,4222.3821,332.5051,1448.8454,-1500.6207,-85.5445,104.5168,216255.7350,237.4650,215404.7350,425
2026-01-27,851.9100,4773.1114,326.0743,48.0755,-1461.6833,70.1512,48.2967,165901.2600,212.6450,166540.5250,412
2026-01-28,-1599.0800,-565.0344,640.4373,-730.4302,-1494.5098,-67.6638,86.9262,285176.2150,371.1300,283206.0050,428
2026-01-29,-333.9900,-3948.9107,1300.6583,228.2411,-2110.0255,19.0705,112.8275,-17539.4300,581.5450,-18454.9650,455
2026-01-30,4508.9600,-1066.9627,1808.1311,14413.9469,-2274.9041,257.4590,450.1843,1545259.6850,735.3650,1549033.2800,456
2026-02-02,-3989.6900,9569.9373,645.1215,-12515.7943,-1883.4776,-78.8181,332.6810,-1916871.1550,435.1650,-1921296.0100,442
2026-02-03,7598.0200,-8464.6878,1820.4123,6186.9752,-3011.3272,-48.1712,131.9978,1067001.7500,909.5800,1073690.1900,457
2026-02-04,9138.1050,692.8387,5971.8439,-1207.1516,-2950.6549,-10.1898,63.6869,-1551159.2250,1081.9600,-1543103.0800,463
2026-02-05,-1957.8150,3621.2727,3609.3490,6294.6056,-3564.6279,-31.7928,8.0437,604839.5300,1162.2550,601719.4600,454
2026-02-06,-15624.7200,7485.6365,1610.4959,-11824.0752,-2934.9748,13.5061,45.5363,446977.2400,728.8500,430623.6700,454
