date,option_mtm,delta_pnl,gamma_pnl,vega_pnl,theta_pnl,vanna_pnl,volga_pnl,delta_hedge_pnl,txn_cost,total_pnl,n_fills
2026-01-02,133.3600,82.2647,29.1606,-9.0785,-8.2521,0.0932,0.0057,-10256.1700,15.8250,-10138.6350,71
2026-01-05,-3.8400,65.3943,21.4607,55.6622,-112.0708,-0.4941,2.6915,-2071.5850,22.3100,-2097.7350,176
2026-01-06,57.6900,501.9274,26.4013,-5.3768,-204.1330,0.5717,2.4429,11045.1750,22.2650,11080.6000,224
2026-01-07,26.4800,-663.9884,67.9991,-25.7115,-233.1715,-2.0301,5.3750,-37378.6200,71.0150,-37423.1550,335
2026-01-08,-447.2700,643.3016,153.5029,108.7637,-381.4916,-8.3219,6.7049,-84325.1100,96.7850,-84869.1650,378
2026-01-09,-19.2800,225.9781,285.4568,-925.9024,-386.4269,-1.0319,16.0913,-5692.4450,89.6950,-5801.4200,395
2026-01-12,-336.5400,2679.7374,78.5201,743.9784,-474.9687,-25.3421,66.6269,112868.2100,60.8500,112470.8200,355
2026-01-13,1948.2300,-2174.6552,341.7110,4693.9788,-634.5575,268.9061,214.4256,418884.6100,201.9600,420630.8800,420
2026-01-14,-206.6600,2703.1083,930.2382,-3679.5256,-854.1331,-236.7345,313.9266,-564612.7500,204.7550,-565024.1650,444
2026-01-15,-1880.3400,-436.0347,366.8079,1334.5880,-623.1062,-247.0396,214.8162,-106820.0700,170.0450,-108870.4550,431
2026-01-16,9084.4700,-2856.0658,4003.0279,-2291.8569,-721.3437,11.4273,263.9226,-62602.9300,159.8950,-53678.3550,415
2026-01-20,285.6500,700.7407,795.7165,10910.9328,-1817.7402,8.6108,6.0019,826138.3300,378.7300,826045.2500,454
2026-01-21,-4183.6150,4481.1525,1782.4445,-4522.7047,-1554.7502,-194.3636,25.1247,-652818.2400,335.8450,-657337.7000,455
2026-01-22,-3131.8150,-909.1790,417.3001,-2891.1553,-1324.3236,21.0186,71.3365,-150976.9400,235.9900,-154344.7450,442
2026-01-23,2927.1650,2054.5349,598.6642,-932.4201,-1458.9228,50.7014,29.3931,47293.1600,274.8100,49945.5150,435
2026-01-26,-613.5350,4222.3821,332.5051,1448.8454,-1500.6207,-85.5445,104.5168,166455.0150,222.2650,165619.2150,428
2026-01-27,851.9100,4773.1114,326.0743,48.0755,-1461.6833,70.1512,48.2967,132568.2000,203.1450,133216.9650,419
2026-01-28,-1599.0800,-565.0344,640.4373,-730.4302,-1494.5098,-67.6638,86.9262,244077.6400,355.1800,242123.3800,434
2026-01-29,-333.9900,-3948.9107,1300.6583,228.2411,-2110.0255,19.0705,112.8275,-52096.6300,528.7450,-52959.3650,454
2026-01-30,4508.9600,-1066.9627,1808.1311,14413.9469,-2274.9041,257.4590,450.1843,1358069.0600,673.3150,1361904.7050,451
2026-02-02,-3989.6900,9569.9373,645.1215,-12515.7943,-1883.4776,-78.8181,332.6810,-1764005.7650,407.8150,-1768403.2700,446
2026-02-03,7598.0200,-8464.6878,1820.4123,6186.9752,-3011.3272,-48.1712,131.9978,968855.5600,825.3800,975628.2000,460
2026-02-04,9138.1050,692.8387,5971.8439,-1207.1516,-2950.6549,-10.1898,63.6869,-1389288.1500,965.3100,-1381115.3550,466
2026-02-05,-1957.8150,3621.2727,3609.3490,6294.6056,-3564.6279,-31.7928,8.0437,508796.6250,1032.7050,505806.1050,459
2026-02-06,-15624.7200,7485.6365,1610.4959,-11824.0752,-2934.9748,13.5061,45.5363,378710.5850,646.6000,362439.2650,456
