date,option_mtm,delta_pnl,gamma_pnl,vega_pnl,theta_pnl,vanna_pnl,volga_pnl,delta_hedge_pnl,txn_cost,total_pnl,n_fills
2026-01-02,133.3600,82.2647,29.1606,-9.0785,-8.2521,0.0932,0.0057,1373.1950,6.6750,1499.8800,40
2026-01-05,-3.8400,65.3943,21.4607,55.6622,-112.0708,-0.4941,2.6915,57172.3600,8.4100,57160.1100,38
2026-01-06,57.6900,501.9274,26.4013,-5.3768,-204.1330,0.5717,2.4429,76724.8200,7.9150,76774.5950,21
2026-01-07,26.4800,-663.9884,67.9991,-25.7115,-233.1715,-2.0301,5.3750,11244.5700,36.7150,11234.3350,41
2026-01-08,-447.2700,643.3016,153.5029,108.7637,-381.4916,-8.3219,6.7049,82201.9200,46.0350,81708.6150,45
2026-01-09,-19.2800,225.9781,285.4568,-925.9024,-386.4269,-1.0319,16.0913,213600.7000,21.8950,213559.5250,42
2026-01-12,-336.5400,2679.7374,78.5201,743.9784,-474.9687,-25.3421,66.6269,58082.6500,21.1500,57724.9600,24
2026-01-13,1948.2300,-2174.6552,341.7110,4693.9788,-634.5575,268.9061,214.4256,-193718.7450,74.1100,-191844.6250,48
2026-01-14,-206.6600,2703.1083,930.2382,-3679.5256,-854.1331,-236.7345,313.9266,101297.2450,53.5550,101037.0300,48
2026-01-15,-1880.3400,-436.0347,366.8079,1334.5880,-623.1062,-247.0396,214.8162,341405.6100,52.8950,339472.3750,48
2026-01-16,9084.4700,-2856.0658,4003.0279,-2291.8569,-721.3437,11.4273,263.9226,-49089.3000,36.1450,-40040.9750,35
2026-01-20,285.6500,700.7407,795.7165,10910.9328,-1817.7402,8.6108,6.0019,-821482.1550,84.1800,-821280.6850,45
2026-01-21,-4183.6150,4481.1525,1782.4445,-4522.7047,-1554.7502,-194.3636,25.1247,724403.9950,98.1950,720122.1850,46
2026-01-22,-3131.8150,-909.1790,417.3001,-2891.1553,-1324.3236,21.0186,71.3365,-11767.3000,58.4900,-14957.6050,42
2026-01-23,2927.1650,2054.5349,598.6642,-932.4201,-1458.9228,50.7014,29.3931,-36077.6200,80.7600,-33231.2150,41
2026-01-26,-613.5350,4222.3821,332.5051,1448.8454,-1500.6207,-85.5445,104.5168,506046.8550,50.6650,505382.6550,40
2026-01-27,851.9100,4773.1114,326.0743,48.0755,-1461.6833,70.1512,48.2967,188988.0250,50.0950,189789.8400,30
2026-01-28,-1599.0800,-565.0344,640.4373,-730.4302,-1494.5098,-67.6638,86.9262,-301415.8300,101.8800,-303116.7900,39
2026-01-29,-333.9900,-3948.9107,1300.6583,228.2411,-2110.0255,19.0705,112.8275,88165.4150,111.8950,87719.5300,44
2026-01-30,4508.9600,-1066.9627,1808.1311,14413.9469,-2274.9041,257.4590,450.1843,-413783.2000,168.3650,-409442.6050,43
2026-02-02,-3989.6900,9569.9373,645.1215,-12515.7943,-1883.4776,-78.8181,332.6810,1055972.1400,106.3150,1051876.1350,39
2026-02-03,7598.0200,-8464.6878,1820.4123,6186.9752,-3011.3272,-48.1712,131.9978,-894904.0750,136.5800,-887442.6350,45
2026-02-04,9138.1050,692.8387,5971.8439,-1207.1516,-2950.6549,-10.1898,63.6869,-312405.5700,118.8100,-303386.2750,48
2026-02-05,-1957.8150,3621.2727,3609.3490,6294.6056,-3564.6279,-31.7928,8.0437,-738423.5900,131.0050,-740512.4100,42
2026-02-06,-15624.7200,7485.6365,1610.4959,-11824.0752,-2934.9748,13.5061,45.5363,1325993.2450,138.2500,1310230.2750,48
