date,option_mtm,delta_pnl,gamma_pnl,vega_pnl,theta_pnl,vanna_pnl,volga_pnl,delta_hedge_pnl,txn_cost,total_pnl,n_fills
2026-01-02,133.3600,82.2647,29.1606,-9.0785,-8.2521,0.0932,0.0057,6825.6100,7.5750,6951.3950,41
2026-01-05,-3.8400,65.3943,21.4607,55.6622,-112.0708,-0.4941,2.6915,36506.8550,6.9100,36496.1050,39
2026-01-06,57.6900,501.9274,26.4013,-5.3768,-204.1330,0.5717,2.4429,30408.2150,4.7650,30461.1400,22
2026-01-07,26.4800,-663.9884,67.9991,-25.7115,-233.1715,-2.0301,5.3750,22215.2500,31.5150,22210.2150,41
2026-01-08,-447.2700,643.3016,153.5029,108.7637,-381.4916,-8.3219,6.7049,46946.4250,36.8850,46462.2700,44
2026-01-09,-19.2800,225.9781,285.4568,-925.9024,-386.4269,-1.0319,16.0913,76310.5750,10.9950,76280.3000,41
2026-01-12,-336.5400,2679.7374,78.5201,743.9784,-474.9687,-25.3421,66.6269,27206.4100,7.7500,26862.1200,23
2026-01-13,1948.2300,-2174.6552,341.7110,4693.9788,-634.5575,268.9061,214.4256,-11002.0750,46.4100,-9100.2550,49
2026-01-14,-206.6600,2703.1083,930.2382,-3679.5256,-854.1331,-236.7345,313.9266,15963.9050,19.5050,15737.7400,47
2026-01-15,-1880.3400,-436.0347,366.8079,1334.5880,-623.1062,-247.0396,214.8162,86249.3800,17.6450,84351.3950,47
2026-01-16,9084.4700,-2856.0658,4003.0279,-2291.8569,-721.3437,11.4273,263.9226,7662.3150,13.6450,16733.1400,35
2026-01-20,285.6500,700.7407,795.7165,10910.9328,-1817.7402,8.6108,6.0019,-122820.2250,25.6800,-122560.2550,45
2026-01-21,-4183.6150,4481.1525,1782.4445,-4522.7047,-1554.7502,-194.3636,25.1247,127196.8750,23.6950,122989.5650,45
2026-01-22,-3131.8150,-909.1790,417.3001,-2891.1553,-1324.3236,21.0186,71.3365,5662.2450,14.1900,2516.2400,42
2026-01-23,2927.1650,2054.5349,598.6642,-932.4201,-1458.9228,50.7014,29.3931,18017.8150,42.6100,20902.3700,41
2026-01-26,-613.5350,4222.3821,332.5051,1448.8454,-1500.6207,-85.5445,104.5168,123472.6850,16.9150,122842.2350,40
2026-01-27,851.9100,4773.1114,326.0743,48.0755,-1461.6833,70.1512,48.2967,76757.1200,11.4950,77597.5350,29
2026-01-28,-1599.0800,-565.0344,640.4373,-730.4302,-1494.5098,-67.6638,86.9262,-18036.8700,64.8300,-19700.7800,39
2026-01-29,-333.9900,-3948.9107,1300.6583,228.2411,-2110.0255,19.0705,112.8275,35619.6350,30.5950,35255.0500,44
2026-01-30,4508.9600,-1066.9627,1808.1311,14413.9469,-2274.9041,257.4590,450.1843,-40460.3700,60.5650,-36011.9750,43
2026-02-02,-3989.6900,9569.9373,645.1215,-12515.7943,-1883.4776,-78.8181,332.6810,197752.3100,24.5650,193738.0550,39
2026-02-03,7598.0200,-8464.6878,1820.4123,6186.9752,-3011.3272,-48.1712,131.9978,-151783.0450,31.6300,-144216.6550,45
2026-02-04,9138.1050,692.8387,5971.8439,-1207.1516,-2950.6549,-10.1898,63.6869,-40302.8500,30.7600,-31195.5050,48
2026-02-05,-1957.8150,3621.2727,3609.3490,6294.6056,-3564.6279,-31.7928,8.0437,-124402.3150,30.5050,-126390.6350,42
2026-02-06,-15624.7200,7485.6365,1610.4959,-11824.0752,-2934.9748,13.5061,45.5363,266646.3150,31.5500,250990.0450,48
