H,resample_min,move_pct,expiry,n_bars_all,n_bars_active,n_bars_quiet,rr25_rmse_carry_all,rr25_rmse_rough_all,bf25_rmse_carry_all,bf25_rmse_rough_all,rr25_rmse_carry_active,rr25_rmse_rough_active,bf25_rmse_carry_active,bf25_rmse_rough_active,rr25_rmse_carry_quiet,rr25_rmse_rough_quiet,bf25_rmse_carry_quiet,bf25_rmse_rough_quiet,verdict
0.03,1,0.1,2025-08-14,381,38,343,0.00034537654188183963,0.000637460627991815,0.0007481595453762175,0.0006991280949044261,0.000679321560548947,0.0008245037494307903,0.000953158558549842,0.0007789950476436534,0.0003579388583466469,0.0006361506463573942,0.0007242123603113806,0.0006873972897079498,MARGINAL
0.03,1,0.1,2025-08-15,762,76,686,0.0008018652155806655,0.003041563755459778,0.0007041414285520884,0.000678656427207829,0.0011842793297438198,0.002101631767416531,0.0009490097799584794,0.0007109147750011702,0.0008042357117894393,0.0028993243822050168,0.0006927055851641332,0.0006807642672183437,MARGINAL
0.03,1,0.1,2025-08-18,762,76,686,0.00030394355862467434,0.005598228109578012,0.0004444569034527543,0.0007052972794994275,0.0008211526199630416,0.005742486481232324,0.0007455942536899306,0.0006609607254852014,0.00029867656390858866,0.005585866860224909,0.00044516781313872725,0.0007089999554483292,PASS
0.03,1,0.1,2025-08-19,762,76,686,0.0003026629896038358,0.0015692560729278762,0.0004729433834075848,0.0007660916053920841,0.0009242469943433662,0.001507992920098779,0.0007439635744166452,0.0006388839497417745,0.0003063477493553852,0.0016007971994750736,0.00044758302786450263,0.000774910782358925,PASS
0.03,1,0.1,2025-08-20,762,76,686,0.00024098922146846227,0.002397646464208662,0.0005573287595751613,0.0006264306544482379,0.0005193484705500168,0.0027962152501735255,0.0007875522833224171,0.0006278618493250779,0.000247068738291662,0.0023813743711670215,0.0005528287677590856,0.0006205484629258699,PASS
0.03,1,0.1,2025-08-21,762,76,686,0.000308665870620717,0.0007047712563754956,0.0005874240276119067,0.0005963224467317334,0.0008432753591868922,0.0009515062127503036,0.0007975032156778472,0.0006870903858369939,0.0002968026575098955,0.0007092241060609656,0.0005788054477496732,0.0005881672899554581,PASS
0.03,1,0.1,2025-08-22,762,76,686,0.00024278569709845155,0.0019025811316718208,0.0005221733357368306,0.0007988182523220309,0.0005526929371697344,0.0018692980924505025,0.0008625370337648954,0.000782542049755931,0.00023645076335832973,0.0019083497748682396,0.0004982388140598473,0.0008029934408598577,PASS
0.03,1,0.1,2025-08-25,762,76,686,0.0002131012803473592,0.005610518635545946,0.0005597377598258062,0.0007918394054071954,0.0004035896809830761,0.00500199147291256,0.0007792362363569735,0.0006902239522669474,0.00020918183321269062,0.005589719004860633,0.0005443351709995179,0.0008082679865082375,PASS
0.03,1,0.1,2025-08-26,762,76,686,0.00027030396173052356,0.0013141133786235193,0.0006316711005528865,0.0007548151113015684,0.0005760187156498327,0.001955291763638682,0.0007982226981843297,0.0007186856111002102,0.0002707599708605479,0.0012320661583489457,0.0006283469991827237,0.0007588795734216373,PASS
0.03,1,0.1,2025-08-27,762,76,686,0.0003111422389349712,0.0015936529788295388,0.0007556345887082244,0.0009248871938739231,0.0008000696222718297,0.0015103078682548315,0.001045364557364829,0.0009225832297900565,0.00033006440633097714,0.0016252771519606173,0.0007329510223223325,0.0009282232570194246,PASS
