H,resample_min,move_pct,series_id,expiry,n_bars_all,n_bars_active,n_bars_quiet,rr25_rmse_carry_all,rr25_rmse_rough_all,bf25_rmse_carry_all,bf25_rmse_rough_all,rr25_rmse_carry_active,rr25_rmse_rough_active,bf25_rmse_carry_active,bf25_rmse_rough_active,rr25_rmse_carry_quiet,rr25_rmse_rough_quiet,bf25_rmse_carry_quiet,bf25_rmse_rough_quiet,verdict
0.03,1,0.1,front,front,32558,3256,29302,0.0008002284707449096,0.006634040517976014,0.0014270973953352038,0.0036495336723200086,0.002004486390445701,0.009877426199767185,0.0026725656992519406,0.005359793115374743,0.0005148186894289237,0.006169241845629884,0.0012121120025288088,0.0034068884537714838,FAIL
0.03,1,0.1,mid,mid,32558,3256,29302,0.0005070159861209895,0.00610552338462778,0.0005385810469372615,0.002668663732634528,0.0012954700496534556,0.007626956382274571,0.0009676139016255432,0.0045917794435145895,0.00031486574638001834,0.005912336962265515,0.00046718454791419014,0.0023601269538485537,FAIL
0.03,1,0.1,ALL,ALL,65116,6512,58604,,,,,0.0016499782200495782,0.008752191291020879,0.001820089800438742,0.0049757862794446665,0.000414842217904471,0.0060407894039476995,0.0008396482752214995,0.0028835077038100185,FAIL
0.03,1,0.2,front,front,32558,6512,26046,0.0008002284707449096,0.006634040517976014,0.0014270973953352038,0.0036495336723200086,0.0015025106014671563,0.008804017101541058,0.002340872624528276,0.004788392126031237,0.0004858249800605586,0.0059694617034259665,0.0010843147193980462,0.003304000381724814,FAIL
0.03,1,0.2,mid,mid,32558,6512,26046,0.0005070159861209895,0.00610552338462778,0.0005385810469372615,0.002668663732634528,0.0009564775788317002,0.006967290182748595,0.0008229677822920838,0.0040090371911919425,0.00030430286108895876,0.005870320452626376,0.0004396098126287537,0.002209944592652282,FAIL
0.03,1,0.2,ALL,ALL,65116,13024,52092,,,,,0.0012294940901494283,0.007885653642144826,0.0015819202034101799,0.00439871465861159,0.00039506392057475864,0.005919891078026171,0.0007619622660133999,0.002756972487188548,FAIL
0.03,1,0.3,front,front,32558,9767,22791,0.0008002284707449096,0.006634040517976014,0.0014270973953352038,0.0036495336723200086,0.0012614979933325597,0.008184146121999684,0.002089493510831229,0.004444626107981386,0.0004824885226906988,0.005845208056790265,0.0010189786604212926,0.0032497722760210894,FAIL
0.03,1,0.3,mid,mid,32558,9767,22791,0.0005070159861209895,0.00610552338462778,0.0005385810469372615,0.002668663732634528,0.0008215914203382461,0.0066599059627637765,0.0007583415184619273,0.0036324623135297386,0.00027919093696030433,0.005851879139359936,0.00040978432852907076,0.002125813467102111,FAIL
0.03,1,0.3,ALL,ALL,65116,19534,45582,,,,,0.0010415447068354029,0.00742202604238173,0.0014239175146465782,0.004038544210755562,0.0003808397298255016,0.005848543598075101,0.0007143814944751817,0.0026877928715616003,FAIL
0.03,5,0.1,front,front,6590,659,5931,0.001139109870451985,0.00666180234451554,0.0018707762813186953,0.003618111281004502,0.002890679996955514,0.01005239674138337,0.0034162069963380756,0.005118078676086478,0.000716355888282489,0.006171042302155569,0.0016099065139505771,0.0034109358979923818,FAIL
0.03,5,0.1,mid,mid,6590,659,5931,0.0008403039315417194,0.006130022549144891,0.0005589159514344036,0.002656052894751862,0.0023244968435848093,0.007684896239977189,0.0006731024506370646,0.004468531222864299,0.0004290854996539489,0.0059321207747390515,0.0005447506845854349,0.002370565354738845,FAIL
0.03,5,0.1,ALL,ALL,13180,1318,11862,,,,,0.0026075884202701616,0.008868646490680279,0.00204465472348757,0.004793304949475389,0.0005727206939682189,0.00605158153844731,0.001077328599268006,0.002890750626365613,FAIL
0.03,5,0.2,front,front,6590,1318,5272,0.001139109870451985,0.00666180234451554,0.0018707762813186953,0.003618111281004502,0.0021550398253594475,0.008948708427700213,0.003044611931901601,0.00464062094774758,0.0006787902700988748,0.005954240022829341,0.0014342474521379658,0.0033134831120262666,FAIL
0.03,5,0.2,mid,mid,6590,1318,5272,0.0008403039315417194,0.006130022549144891,0.0005589159514344036,0.002656052894751862,0.00172071006119054,0.006909595577877983,0.0006727954309903564,0.003949112769057243,0.00037725409551977876,0.005919067550620714,0.0005266058537616883,0.0022178803441575854,FAIL
0.03,5,0.2,ALL,ALL,13180,2636,10544,,,,,0.0019378749432749937,0.007929152002789097,0.0018587036814459788,0.004294866858402411,0.0005280221828093268,0.005936653786725027,0.000980426652949827,0.002765681728091926,FAIL
0.03,5,0.3,front,front,6590,1977,4613,0.001139109870451985,0.00666180234451554,0.0018707762813186953,0.003618111281004502,0.0018120822380376827,0.008333863499967224,0.0027520575736673237,0.0043113033531608,0.0006679921902886766,0.005799260450626226,0.0013241669201365643,0.0032763591986846056,FAIL
