H,resample_min,move_pct,series_id,expiry,n_bars_all,n_bars_active,n_bars_quiet,best_imp_active,best_method_active,best_feature_active,best_imp_quiet,best_method_quiet,best_feature_quiet,verdict,rr25_rmse_carry_all,rr25_rmse_rough_all,rr25_rmse_rough_cond_carry_all,rr25_rmse_rough_recent_all,rr25_rmse_ar1_all,bf25_rmse_carry_all,bf25_rmse_rough_all,bf25_rmse_rough_cond_carry_all,bf25_rmse_rough_recent_all,bf25_rmse_ar1_all,rr25_rmse_carry_active,rr25_rmse_rough_active,rr25_rmse_rough_cond_carry_active,rr25_rmse_rough_recent_active,rr25_rmse_ar1_active,bf25_rmse_carry_active,bf25_rmse_rough_active,bf25_rmse_rough_cond_carry_active,bf25_rmse_rough_recent_active,bf25_rmse_ar1_active,rr25_rmse_carry_quiet,rr25_rmse_rough_quiet,rr25_rmse_rough_cond_carry_quiet,rr25_rmse_rough_recent_quiet,rr25_rmse_ar1_quiet,bf25_rmse_carry_quiet,bf25_rmse_rough_quiet,bf25_rmse_rough_cond_carry_quiet,bf25_rmse_rough_recent_quiet,bf25_rmse_ar1_quiet
0.03,1,0.1,front,front,32558,3256,29302,0.06863007814721649,rough_recent,bf25,0.017091100380019566,rough_cond_carry,bf25,MARGINAL,0.0008002284707449096,0.006634040517976014,0.0007996769230452076,0.001216329903641198,0.0008001920126940866,0.0014270973953352038,0.0036495336723200086,0.001392159492075847,0.001878713718893522,0.0013698113923848053,0.002004486390445701,0.009877426199767185,0.0019972356560077707,0.0024165623646723207,0.0020035505399136344,0.0026725656992519406,0.005359793115374743,0.00257017309317618,0.0024891473064587097,0.002494384002145167,0.0005148186894289237,0.006169241845629884,0.0005169932956515467,0.0009974614584114059,0.0005151604244542443,0.0012121120025288088,0.003406888453771483,0.0011913956746217624,0.0017981325211567018,0.0011804629992490999
0.03,1,0.1,mid,mid,32558,3256,29302,0.13449556729797169,rough_recent,bf25,0.0057379782839286604,rough_cond_carry,bf25,MARGINAL,0.0005070159861209895,0.00610552338462778,0.0005068349762424407,0.0009858656410131126,0.0005069961842911352,0.0005385810469372615,0.002668663732634528,0.0005342879704512632,0.0005524984378703274,0.0005150530910592664,0.0012954700496534556,0.007626956382274571,0.001294401273847031,0.0019346991668845058,0.001295141884170715,0.0009676139016255432,0.0045917794435145895,0.0009553521172143139,0.000837474121001012,0.0008969220685323842,0.00031486574638001834,0.005912336962265515,0.0003150303389658849,0.0008148596355756756,0.00031498031431069864,0.0004671845479141901,0.0023601269538485537,0.00046450385312367143,0.0005111144446052606,0.00045317061587633975
0.03,1,0.1,ALL,ALL,65116,6512,58604,0.08613810520287993,rough_recent,bf25,0.013932633096514548,rough_cond_carry,bf25,MARGINAL,,,,,,,,,,,0.0016499782200495782,0.008752191291020879,0.0016458184649274007,0.0021756307657784133,0.0016493462120421747,0.001820089800438742,0.0049757862794446665,0.001762762605195247,0.001663310713729861,0.0016956530353387756,0.000414842217904471,0.0060407894039476995,0.0004160118173087158,0.0009061605469935408,0.00041507036938247146,0.0008396482752214994,0.0028835077038100185,0.000827949763872717,0.0011546234828809813,0.0008168168075627198
0.03,1,0.2,front,front,32558,6512,26046,0.03988299271503952,rough_cond_carry,bf25,0.006836154997966023,rough_cond_carry,bf25,MARGINAL,0.0008002284707449096,0.006634040517976014,0.0007996769230452076,0.001216329903641198,0.0008001920126940866,0.0014270973953352038,0.0036495336723200086,0.001392159492075847,0.001878713718893522,0.0013698113923848053,0.0015025106014671563,0.008804017101541058,0.001497644019696303,0.0019696000152908746,0.0015015420010294365,0.002340872624528276,0.004788392126031237,0.002247511618697379,0.0023103886736586783,0.0021865320799710707,0.0004858249800605586,0.0059694617034259665,0.0004884397614378525,0.0009377754959303471,0.00048649819091370236,0.0010843147193980462,0.003304000381724814,0.0010769021759096651,0.0017542606755697222,0.0010724573600721056
0.03,1,0.2,mid,mid,32558,6512,26046,0.14732291996993763,rough_recent,bf25,0.004223900781979044,rough_cond_carry,bf25,MARGINAL,0.0005070159861209895,0.00610552338462778,0.0005068349762424407,0.0009858656410131126,0.0005069961842911352,0.0005385810469372615,0.002668663732634528,0.0005342879704512632,0.0005524984378703274,0.0005150530910592664,0.0009564775788317002,0.006967290182748595,0.000955744174553691,0.0015674958643662326,0.0009562229385148872,0.0008229677822920838,0.0040090371911919425,0.0008128741516477158,0.0007017257655636301,0.0007644267715411929,0.00030430286108895876,0.005870320452626376,0.0003045020163666028,0.0007749904778146875,0.00030446166960689967,0.00043960981262875366,0.002209944592652282,0.0004377529443974254,0.0005083876499768602,0.0004307009960520432
0.03,1,0.2,ALL,ALL,65116,13024,52092,0.04795626456725577,rough_recent,bf25,0.0060825923626160435,rough_cond_carry,bf25,MARGINAL,,,,,,,,,,,0.0012294940901494283,0.007885653642144826,0.001226694097124997,0.0017685479398285536,0.0012288824697721619,0.0015819202034101799,0.00439871465861159,0.0015301928851725473,0.0015060572196111542,0.0014754794257561318,0.00039506392057475864,0.005919891078026171,0.00039647088890222765,0.0008563829868725172,0.000395479930260301,0.0007619622660133999,0.002756972487188548,0.0007573275601535452,0.0011313241627732913,0.0007515791780620744
0.03,1,0.3,front,front,32558,9767,22791,0.03742924288084753,rough_cond_carry,bf25,0.0015735540251577852,rough_cond_carry,bf25,MARGINAL,0.0008002284707449096,0.006634040517976014,0.0007996769230452076,0.001216329903641198,0.0008001920126940866,0.0014270973953352038,0.0036495336723200086,0.001392159492075847,0.001878713718893522,0.0013698113923848053,0.0012614979933325597,0.008184146121999683,0.0012582340522365033,0.001737302743295709,0.001260941169357103,0.002089493510831229,0.004444626107981386,0.002011285350716372,0.0021819840622575248,0.0019577099848514545,0.0004824885226906988,0.005845208056790265,0.0004848290463176769,0.0009055376775723397,0.0004830256343865552,0.0010189786604212926,0.0032497722760210894,0.0010173752424486367,0.0017325679977641185,0.001018825177109408
0.03,1,0.3,mid,mid,32558,9767,22791,0.1257124731452653,rough_recent,bf25,-0.0007044658524469516,rough_cond_carry,rr25,PASS,0.0005070159861209895,0.00610552338462778,0.0005068349762424407,0.0009858656410131126,0.0005069961842911352,0.0005385810469372615,0.002668663732634528,0.0005342879704512632,0.0005524984378703274,0.0005150530910592664,0.0008215914203382461,0.006659905962763777,0.0008210629604348287,0.0014035587537398538,0.0008214745650869923,0.0007583415184619272,0.0036324623135297386,0.0007472229289244251,0.0006630085306873425,0.0007073355565925818,0.00027919093696030433,0.005851879139359936,0.00027938761744170554,0.0007377013418975859,0.0002792869126703765,0.00040978432852907076,0.0021258134671021107,0.0004105087454721178,0.0004976817969727239,0.00040564523745741923
0.03,1,0.3,ALL,ALL,65116,19534,45582,0.031366546423347394,rough_cond_carry,bf25,0.0006152182247207539,rough_cond_carry,bf25,MARGINAL,,,,,,,,,,,0.0010415447068354029,0.00742202604238173,0.0010396485063356659,0.0015704307485177814,0.0010412078672220476,0.001423917514646578,0.004038544210755562,0.0013792541398203986,0.0014224962964724335,0.0013325227707220182,0.0003808397298255016,0.005848543598075101,0.0003821083318796912,0.0008216195097349628,0.00038115627352846584,0.0007143814944751817,0.0026877928715616003,0.0007139419939603773,0.0011151248973684212,0.0007122352072834136
0.03,5,0.1,front,front,6590,659,5931,0.20572517040967436,rough_recent,bf25,0.029968888771580587,rough_cond_carry,bf25,MARGINAL,0.001139109870451985,0.00666180234451554,0.0011389661753662531,0.0021002114499048138,0.001139268908922654,0.0018707762813186953,0.003618111281004502,0.0017931135236991759,0.0022854840181933903,0.001733516055999742,0.002890679996955514,0.01005239674138337,0.0028918674585435423,0.004037401594031832,0.002893072802920582,0.0034162069963380756,0.005118078676086478,0.0031941136420051944,0.002713407229861703,0.0030234080005563995,0.000716355888282489,0.006171042302155569,0.000715568971646161,0.00175772152702892,0.0007155629994758795,0.0016099065139505771,0.0034109358979923818,0.0015616594047013492,0.002232871406133741,0.001524202833595601
0.03,5,0.1,mid,mid,6590,659,5931,0.011558229127786776,rough_cond_carry,bf25,0.0050982190657447865,rough_cond_carry,bf25,MARGINAL,0.0008403039315417194,0.006130022549144891,0.0008404887598434232,0.0021289788824942744,0.0008406017596848954,0.0005589159514344036,0.002656052894751862,0.0005555441915150995,0.0006916919195270628,0.0005323236173111829,0.0023244968435848093,0.007684896239977189,0.0023242502486646474,0.003785375447843611,0.0023247707234140343,0.0006731024506370646,0.004468531222864299,0.0006653225782861267,0.0009104103579838953,0.0006332160237017386,0.0004290854996539489,0.0059321207747390515,0.00042963582483394094,0.001855765535764688,0.00042956852168634334,0.0005447506845854349,0.002370565354738845,0.0005419734262592039,0.0006629455319104444,0.0005199040480307815
0.03,5,0.1,ALL,ALL,13180,1318,11862,0.11383140971976724,rough_recent,bf25,0.023680967724298622,rough_cond_carry,bf25,MARGINAL,,,,,,,,,,,0.0026075884202701616,0.008868646490680279,0.002608058853604095,0.003911388520937722,0.002608921763167308,0.00204465472348757,0.004793304949475389,0.0019297181101456606,0.0018119087939227991,0.0018283120121290691,0.0005727206939682189,0.00605158153844731,0.0005726023982400509,0.001806743531396804,0.0005725657605811115,0.001077328599268006,0.002890750626365613,0.0010518164154802766,0.0014479084690220928,0.0010220534408131913
0.03,5,0.2,front,front,6590,1318,5272,0.13165641706009035,rough_recent,bf25,0.01556938810388292,rough_cond_carry,bf25,MARGINAL,0.001139109870451985,0.00666180234451554,0.0011389661753662531,0.0021002114499048138,0.001139268908922654,0.0018707762813186953,0.003618111281004502,0.0017931135236991759,0.0022854840181933903,0.001733516055999742,0.0021550398253594475,0.008948708427700213,0.002155885790456807,0.003298605281749661,0.002156383211694312,0.003044611931901601,0.00464062094774758,0.0028462807346187366,0.0026437692336090364,0.0027066328331189875,0.0006787902700988748,0.005954240022829341,0.0006778164454462278,0.0016712582395480005,0.0006780567335470916,0.0014342474521379658,0.0033134831120262666,0.0014119170969186245,0.00218674044932265,0.0013873273371197464
0.03,5,0.2,mid,mid,6590,1318,5272,6.474558071827526e-05,rough_cond_carry,rr25,0.009798123492537777,rough_cond_carry,bf25,MARGINAL,0.0008403039315417194,0.006130022549144891,0.0008404887598434232,0.0021289788824942744,0.0008406017596848954,0.0005589159514344036,0.002656052894751862,0.0005555441915150995,0.0006916919195270628,0.0005323236173111829,0.00172071006119054,0.006909595577877983,0.0017205986528183803,0.0031624625994861443,0.0017210931950498026,0.0006727954309903564,0.003949112769057243,0.0006749034900054977,0.0008434099066138542,0.0006188481851128668,0.00037725409551977876,0.005919067550620714,0.0003778952973093501,0.0017790832067184686,0.000377646292477312,0.0005266058537616883,0.0022178803441575854,0.000521446104574638,0.000648229145725332,0.000508392121003276
0.03,5,0.2,ALL,ALL,13180,2636,10544,0.061932470723348704,rough_recent,bf25,0.014019459958417777,rough_cond_carry,bf25,MARGINAL,,,,,,,,,,,0.0019378749432749937,0.007929152002789097,0.0019382422216375937,0.003230533940617903,0.0019387382033720572,0.0018587036814459788,0.004294866858402411,0.0017605921123121171,0.0017435895701114453,0.0016627405091159272,0.0005280221828093268,0.005936653786725027,0.000527855871377789,0.0017251707231332345,0.0005278515130122018,0.000980426652949827,0.002765681728091926,0.0009666816007466313,0.001417484797523991,0.0009478597290615111
0.03,5,0.3,front,front,6590,1977,4613,0.08472995896240938,rough_recent,bf25,-0.00010874165937958786,rough_cond_carry,rr25,PASS,0.001139109870451985,0.00666180234451554,0.0011389661753662531,0.0021002114499048138,0.001139268908922654,0.0018707762813186953,0.003618111281004502,0.0017931135236991759,0.0022854840181933903,0.001733516055999742,0.0018120822380376827,0.008333863499967224,0.001811718698540597,0.0028865363925731457,0.0018127012359897329,0.0027520575736673237,0.0043113033531608,0.0025735429918603806,0.0025188758483883035,0.002455238731919855,0.0006679921902886766,0.005799260450626226,0.0006680648288679012,0.0016522734836300489,0.0006676596693285574,0.0013241669201365643,0.0032763591986846056,0.0013245470253440523,0.0021777916723333744,0.0013073539799533316
0.03,5,0.3,mid,mid,6590,1977,4613,0.015648320855024656,rough_cond_carry,bf25,-0.0029039421670912745,rough_cond_carry,rr25,MARGINAL,0.0008403039315417194,0.006130022549144891,0.0008404887598434232,0.0021289788824942744,0.0008406017596848954,0.0005589159514344036,0.002656052894751862,0.0005555441915150995,0.0006916919195270628,0.0005323236173111829,0.0014394589753295756,0.00664151299955927,0.001439250278368685,0.002844347221220176,0.0014398395072399248,0.0007130785833576129,0.003601037526959013,0.0007019201008903865,0.0007983949466003618,0.0006493893528302007,0.0003472529011837041,0.005897195828856522,0.00034826130352609623,0.0017342047677474301,0.00034760627767504385,0.0004778373385655468,0.0021260261324048484,0.0004792998278363016,0.0006405321693012959,0.00047335802744278617
0.03,5,0.3,ALL,ALL,13180,3954,9226,0.054737550179562645,rough_cond_carry,bf25,-0.0010225250408508807,rough_cond_carry,bf25,PASS,,,,,,,,,,,0.001625770606683629,0.007487688249763248,0.001625484488454641,0.002865441806896661,0.0016262703716148287,0.0017325680785124683,0.003956170440059906,0.0016377315463753836,0.0016586353974943327,0.0015523140423750277,0.0005076225457361903,0.0058482281397413734,0.0005081630661969987,0.0016932391256887394,0.0005076329735018007,0.0009010021293510555,0.002701192665544727,0.0009019234265901769,0.001409161920817335,0.0008903560036980589
0.03,15,0.1,front,front,2218,222,1996,0.2849341441947857,rough_recent,bf25,0.05251002173955619,rough_cond_carry,bf25,MARGINAL,0.0018378289655087343,0.006752628922440096,0.0018373118784574358,0.0032004371075516,0.001838428483667342,0.0022920539250333126,0.0035550974325625913,0.0021454893921564995,0.002522471580139082,0.0020420635988000657,0.004972961013128785,0.010703525780855953,0.0049730453477466316,0.005808948311178554,0.0049776287247492446,0.0039114332393676175,0.005012496294960737,0.0035503252745534455,0.002796932356733367,0.0031886136975267302,0.0010007609584837018,0.006158199583788359,0.000999658601452522,0.0027618181679999057,0.0009994014476323349,0.0020336255391740707,0.003353990689375365,0.0019268398179019236,0.002490060299978199,0.0018715401176286467
0.03,15,0.1,mid,mid,2218,222,1996,0.01633602692571841,rough_cond_carry,bf25,0.00019251949134337112,rough_cond_carry,bf25,MARGINAL,0.0014642863752958267,0.00619493845036545,0.001464344383685172,0.0034792506343946966,0.0014647883548215962,0.0005794298315933834,0.002626111600362021,0.0005777624845381504,0.0008991443175250738,0.0005519048530705484,0.004067006163241984,0.008008115200349287,0.004064316240871149,0.005719065495383381,0.004064045286119712,0.0007492944713347814,0.0044407082134269,0.0007370539766757645,0.0011180911446209063,0.000687077803891851,0.000736293874624466,0.0059591571849236915,0.0007380727645919319,0.0031325026981991887,0.000739216916145923,0.0005573356946929038,0.0023386949967269363,0.0005572283967084541,0.0008713854274364415,0.00053475455582727
0.03,15,0.1,ALL,ALL,4436,444,3992,0.1599973771554536,rough_recent,bf25,0.04125612450675714,rough_cond_carry,bf25,MARGINAL,,,,,,,,,,,0.004519983588185384,0.00935582049060262,0.00451868079430889,0.005764006903280968,0.004520837005434478,0.0023303638553511994,0.004726602254193819,0.002143689625614605,0.0019575117506771367,0.0019378457507092906,0.0008685274165540839,0.006058678384356026,0.0008688656830222269,0.0029471604330995474,0.0008693091818891289,0.0012954806169334873,0.0028463428430511506,0.0012420341073051888,0.0016807228637073202,0.0012031473367279583
0.03,15,0.2,front,front,2218,444,1774,0.247352778122644,rough_recent,bf25,0.024964720679727454,rough_cond_carry,bf25,MARGINAL,0.0018378289655087343,0.006752628922440096,0.0018373118784574358,0.0032004371075516,0.001838428483667342,0.0022920539250333126,0.0035550974325625913,0.0021454893921564995,0.002522471580139082,0.0020420635988000657,0.00370397034933895,0.00902756435606522,0.003704622042102567,0.004761836911445189,0.003708249953959143,0.0036193648148441383,0.004457162381065237,0.0032403341838615944,0.0027241048728530916,0.0029683298544402378,0.000887578362743661,0.006050461262232806,0.0008855563294268676,0.002670105877902797,0.0008846510609342781,0.0018134551289019918,0.003290708999525693,0.0017681827281437344,0.0024694015982660296,0.0017343070562547145
