H,resample_min,expiry,n_bars,rr25_rmse_carry,rr25_dir_carry,rr25_rmse_rough,rr25_dir_rough,rr25_rmse_rough_cond_carry,rr25_dir_rough_cond_carry,rr25_rmse_rough_recent,rr25_dir_rough_recent,rr25_rmse_ar1,rr25_dir_ar1,bf25_rmse_carry,bf25_dir_carry,bf25_rmse_rough,bf25_dir_rough,bf25_rmse_rough_cond_carry,bf25_dir_rough_cond_carry,bf25_rmse_rough_recent,bf25_dir_rough_recent,bf25_rmse_ar1,bf25_dir_ar1,atm_total_var_rmse_carry,atm_total_var_dir_carry,atm_total_var_rmse_rough,atm_total_var_dir_rough,atm_total_var_rmse_rough_cond_carry,atm_total_var_dir_rough_cond_carry,atm_total_var_rmse_rough_recent,atm_total_var_dir_rough_recent,atm_total_var_rmse_ar1,atm_total_var_dir_ar1,n_bars_full,rr25_resid_acf,rr25_resid_pval,bf25_resid_acf,bf25_resid_pval,alpha_mean,alpha_cv,gamma_mean,gamma_cv,best_imp,best_method,best_feature,verdict
0.03,1,2025-08-14,381.0,0.00034538513487685207,0.5910290237467019,0.0006374731156761497,0.5699208443271768,0.00034137794691777165,0.5910290237467019,0.0005102538212262803,0.604221635883905,0.0003463479887137973,0.6147757255936676,0.0007481068113803819,0.5778364116094987,0.0006990889177545584,0.6569920844327177,0.0006368900355586828,0.6464379947229552,0.0006559806665622657,0.6886543535620053,0.0006219863432781906,0.6701846965699209,5.4010970900706985e-06,0.506631299734748,5.4010970900706985e-06,0.506631299734748,5.4010970900706985e-06,0.506631299734748,5.4010970900706985e-06,0.506631299734748,5.401534675519606e-06,0.5211640211640212,381.0,0.7598255974702294,1.7070428423273292e-72,0.3882812058795201,4.366363890036447e-15,-0.04047300473382108,0.017574557374352852,0.2555573161298834,0.20080672397921584,0.1486643005114278,rough_cond_carry,bf25,PASS
0.03,1,2025-08-15,762.0,0.0008018948980504509,0.6044973544973545,0.0030415609769334304,0.5369393139841688,0.0008009020634253422,0.6029023746701847,0.000993764089547297,0.6160949868073878,0.0008046162670161734,0.6055408970976254,0.0007041376527815932,0.5947368421052631,0.000678680179233677,0.625,0.0006067940336413072,0.618421052631579,0.0006407233212014396,0.6276315789473684,0.0006124070732351392,0.6368421052631579,6.385035299876263e-06,0.526595744680851,6.385035299876263e-06,0.526595744680851,6.385035299876263e-06,0.526595744680851,6.385035299876263e-06,0.526595744680851,6.4375853210547645e-06,0.5152317880794702,762.0,0.927926518992277,0.0,0.4461091453835434,1.9240972395952573e-38,-0.042297960397116155,0.07716515757738877,0.2668547317183668,0.2008575953881789,0.13824515527005862,rough_cond_carry,bf25,PASS
0.03,1,2025-08-18,762.0,0.0003039643511748446,0.6097883597883598,0.005598167150180855,0.5065963060686016,0.0003066820324647196,0.6055408970976254,0.000882409413161329,0.5197889182058048,0.0003037208284345353,0.6015831134564644,0.00044443345962964217,0.5593667546174143,0.0007053117858510856,0.5836627140974967,0.0004174911501224979,0.5915678524374176,0.0005109305930441802,0.5942028985507246,0.00041472240432661463,0.6007905138339921,2.8255346382210557e-06,0.5200534759358288,2.8255346382210557e-06,0.5200534759358288,2.8255346382210557e-06,0.5200534759358288,2.8255346382210557e-06,0.5200534759358288,2.841005462632378e-06,0.5092838196286472,762.0,0.9907866950904463,0.0,0.737939879836425,1.3822580646672397e-131,-0.04366907108557102,0.13182283435202014,0.29462581336000593,0.22078795586657052,0.06062169470677564,rough_cond_carry,bf25,PASS
0.03,1,2025-08-19,762.0,0.00030262433852726225,0.6153846153846154,0.0015692603412920851,0.4914134742404227,0.00030256997839669795,0.6044973544973545,0.0006215958671221618,0.570673712021136,0.0003041693674620089,0.6150793650793651,0.00047294368971799553,0.5915119363395226,0.000766041163436568,0.607661822985469,0.00045003922942502195,0.6283068783068783,0.0005368677013669195,0.6155878467635403,0.00043643633348628124,0.6150793650793651,5.286916272180517e-06,0.5297297297297298,5.286916272180517e-06,0.5297297297297298,5.286916272180517e-06,0.5297297297297298,5.286916272180517e-06,0.5297297297297298,5.4006828374446424e-06,0.5040106951871658,762.0,0.9399691968394244,0.0,0.7909605559540098,7.07247935229064e-164,-0.04044499685528402,0.05543226933841161,0.3164345311837263,0.27369978645376486,0.04842957161904608,rough_cond_carry,bf25,PASS
0.03,1,2025-08-20,762.0,0.00024101803651326752,0.5963060686015831,0.0023976175475170056,0.5098814229249012,0.000244878378129116,0.5968379446640316,0.0005686511271147642,0.5678524374176548,0.0002432910087426428,0.5915678524374176,0.0005573604909120119,0.600263852242744,0.0006265038641050393,0.6073781291172595,0.000497671109126277,0.5915678524374176,0.0005500367840012176,0.6021080368906456,0.0004987534652796823,0.5849802371541502,3.209266234492711e-06,0.5190217391304348,3.209266234492711e-06,0.5190217391304348,3.209266234492711e-06,0.5190217391304348,3.209266234492711e-06,0.5190217391304348,3.2551762879760223e-06,0.5160857908847185,762.0,0.9818326677415504,0.0,0.5771744590320133,1.0257419866465445e-68,-0.039253413865466366,0.08464999036994131,0.3704829826737083,0.21081478855819355,0.10709295466577626,rough_cond_carry,bf25,PASS
0.03,1,2025-08-21,762.0,0.00030866486105289505,0.5944148936170213,0.0007047369225700388,0.5595238095238095,0.000309581520865015,0.5952380952380952,0.00046087516833265,0.5701058201058201,0.00030919251068771864,0.6005291005291006,0.0005873886686789596,0.5963060686015831,0.0005962840084632308,0.6073781291172595,0.0005086878774146204,0.6231884057971014,0.0005665065288215417,0.61133069828722,0.0005179716269144617,0.6205533596837944,2.8563215204924482e-06,0.5247657295850067,2.8563215204924482e-06,0.5247657295850067,2.8563215204924482e-06,0.5247657295850067,2.8563215204924482e-06,0.5247657295850067,2.87262636003936e-06,0.5093085106382979,762.0,0.8320420402332065,3.5084646426731083e-196,0.5165947293427056,4.475343521316307e-53,-0.040576631311156824,0.025115207781020072,0.40201513622237606,0.19310145340751864,0.13398418366043346,rough_cond_carry,bf25,PASS
0.03,1,2025-08-22,762.0,0.00024280322865150212,0.5851063829787234,0.00190256252985328,0.5145502645502645,0.0002468933228277093,0.5965608465608465,0.000537725004164011,0.541005291005291,0.0002442054471022177,0.5925925925925926,0.0005221887186853918,0.5789473684210527,0.0007987893823264982,0.5644736842105263,0.0004930108794564726,0.5618421052631579,0.0006052781553283694,0.575,0.0005016757958448502,0.5578947368421052,3.0325451501195547e-06,0.5373333333333333,3.0325451501195547e-06,0.5373333333333333,3.0325451501195547e-06,0.5373333333333333,3.0325451501195547e-06,0.5373333333333333,3.052320564463253e-06,0.5192563081009296,762.0,0.9744888619145429,0.0,0.7617604478983337,4.806668691902654e-145,-0.04263506896733815,0.05111272486973508,0.3188877279881594,0.26672541247690107,0.05587604286506675,rough_cond_carry,bf25,PASS
0.03,1,2025-08-25,762.0,0.0002130620209748715,0.5767195767195767,0.005610556370714204,0.5026385224274407,0.0002173273139723081,0.575197889182058,0.001180211319998142,0.5474934036939314,0.0002147669143393847,0.5936675461741425,0.0005597304794532715,0.5753968253968254,0.0007918786411901288,0.5804749340369393,0.0005110101384592806,0.6055408970976254,0.0005604434519897146,0.600263852242744,0.0005164794015706713,0.5804749340369393,3.628700254052418e-06,0.5676037483266398,3.628700254052418e-06,0.5676037483266398,3.628700254052418e-06,0.5676037483266398,3.628700254052418e-06,0.5676037483266398,3.6574073138920384e-06,0.5126162018592297,762.0,0.9945036361293795,0.0,0.6526981352583953,1.8613604919329504e-93,-0.0436905801709669,0.14253641058233904,0.29103294449699485,0.302400263079942,0.08704250131523927,rough_cond_carry,bf25,PASS
0.03,1,2025-08-26,762.0,0.00027033561120186827,0.5947368421052631,0.0013141389305021819,0.5421052631578948,0.00027035953403134586,0.5894736842105263,0.0006771594113196829,0.5,0.0002730407965381327,0.5881578947368421,0.000631671516969846,0.5763157894736842,0.0007547934582383445,0.5986842105263158,0.0005648274484152497,0.5855263157894737,0.0006527298588444056,0.5881578947368421,0.000575735961432815,0.5802631578947368,3.483188693902953e-06,0.5318302387267905,3.483188693902953e-06,0.5318302387267905,3.483188693902953e-06,0.5318302387267905,3.483188693902953e-06,0.5318302387267905,3.5125101666481416e-06,0.4947089947089947,762.0,0.9538444813183387,0.0,0.5643322201236791,3.979358476872867e-65,-0.04156613241428578,0.044136485409406345,0.25089712287593186,0.3023444273925478,0.10582093185909365,rough_cond_carry,bf25,PASS
0.03,1,2025-08-27,762.0,0.0003111109822263705,0.5949868073878628,0.0015936807936314382,0.5085638998682477,0.0003134488471615654,0.5836627140974967,0.000747150191428946,0.544137022397892,0.0003130343207279933,0.5889328063241107,0.0007556364776687333,0.5976253298153035,0.0009248736439558968,0.5612648221343873,0.0006808117683310812,0.5849802371541502,0.0007226223530869905,0.6034255599472991,0.000663688724284946,0.6086956521739131,5.538049003298791e-06,0.5079787234042553,5.538049003298791e-06,0.5079787234042553,5.538049003298791e-06,0.5079787234042553,5.538049003298791e-06,0.5079787234042553,5.560799457339946e-06,0.5026455026455027,762.0,0.9640413430330406,0.0,0.6182163564804,2.532402878118521e-81,-0.04436858397172716,0.049929159304804946,0.21290589495962203,0.32936494286971313,0.09902209799148268,rough_cond_carry,bf25,PASS
0.03,1,2025-08-28,762.0,0.00045727248101560056,0.5897097625329816,0.0033899988711074756,0.48353096179183136,0.00046632181618361544,0.5638998682476943,0.0007306962534264159,0.5243741765480896,0.00045850082145683444,0.6060606060606061,0.0008915564896719715,0.6105263157894737,0.0009463809372128054,0.6381578947368421,0.0007805286783169243,0.6710526315789473,0.0007557385794683709,0.65,0.0007705034105457865,0.656578947368421,7.294896840459558e-06,0.5171503957783641,7.294896840459558e-06,0.5171503957783641,7.294896840459558e-06,0.5171503957783641,7.294896840459558e-06,0.5171503957783641,7.298164477506673e-06,0.5046113306982872,762.0,0.9619071452269874,0.0,0.5063973264034519,9.660227603031905e-51,-0.04622921883202852,0.06465351331450528,0.1363774322321244,0.4416492153063666,0.1523379749650769,rough_recent,bf25,PASS
0.03,1,2025-08-29,762.0,0.0008612814798796101,0.5804749340369393,0.002860703236371213,0.525691699604743,0.0008791341557598657,0.5573122529644269,0.0009051291004832747,0.549407114624506,0.0008837259791247053,0.5612648221343873,0.0007969257525490667,0.604221635883905,0.0011155987358312837,0.5823451910408433,0.0007466137449679833,0.613965744400527,0.000758644016645647,0.6060606060606061,0.0007189923703948577,0.621870882740448,7.408476178177834e-06,0.5371352785145889,7.408476178177834e-06,0.5371352785145889,7.408476178177834e-06,0.5371352785145889,7.408476178177834e-06,0.5371352785145889,7.5453572818131204e-06,0.5297225891677675,762.0,0.9263506623834376,1e-323,0.6862483798236549,6.826409076855918e-107,-0.046297928786738926,0.07250520677517212,0.15763748738881772,0.5974986591745454,0.06313261608142809,rough_cond_carry,bf25,PASS
0.03,1,2025-09-02,1143.0,0.0008332010804342277,0.6140969162995594,0.005812721693787393,0.4780316344463972,0.0009528223324528488,0.5632688927943761,0.0012985143316406943,0.5377855887521968,0.0009813184620610024,0.5456942003514939,0.0005649555881703381,0.5822339489885664,0.0008654085300655437,0.5864793678665496,0.0005352009923304022,0.6198419666374012,0.0006086352207810932,0.5970149253731343,0.0005478886488510933,0.5952589991220368,4.338304377642329e-06,0.5271593944790739,4.338304377642329e-06,0.5271593944790739,4.338304377642329e-06,0.5271593944790739,4.338304377642329e-06,0.5271593944790739,4.403511670212969e-06,0.5070671378091873,1143.0,0.9745689409587239,0.0,0.7446773643418926,3.129256723636932e-202,-0.044849769211703694,0.20107562215560437,0.23073352855051155,0.4617586277868469,0.052667141387695515,rough_cond_carry,bf25,PASS
0.03,1,2025-09-03,1143.0,0.0002637813748182271,0.6284201235657546,0.0009344424223332922,0.5153913808267371,0.0002644142124569044,0.6306068601583114,0.0006166522863685377,0.5620052770448549,0.000264652321733575,0.6279683377308707,0.0004579906888250669,0.573568281938326,0.0006088674114253997,0.5562390158172232,0.0004373663700192824,0.5861159929701231,0.0005562272274014176,0.5764499121265377,0.00044101070656634643,0.5843585237258347,2.647492360306956e-06,0.5176151761517616,2.647492360306956e-06,0.5176151761517616,2.647492360306956e-06,0.5176151761517616,2.647492360306956e-06,0.5176151761517616,2.6947297498265627e-06,0.5031222123104371,1143.0,0.939612075819854,0.0,0.7223224202546037,1.197236816754798e-184,-0.04249411902911686,0.03413327915083904,0.23136222626009567,0.3141339352972578,0.04503217927572777,rough_cond_carry,bf25,PASS
0.03,1,2025-09-04,762.0,0.000351763247502731,0.6335978835978836,0.0023014987694059854,0.5171503957783641,0.00035554316824904615,0.6306068601583114,0.000748095986793305,0.554089709762533,0.00035438634020122645,0.6345646437994723,0.0005575466350351005,0.5963060686015831,0.000660825449797067,0.5889328063241107,0.0005059610425680774,0.61133069828722,0.0006052076828780061,0.5968379446640316,0.0005175563801458266,0.6231884057971014,4.243740628220326e-06,0.5294906166219839,4.243740628220326e-06,0.5294906166219839,4.243740628220326e-06,0.5294906166219839,4.243740628220326e-06,0.5294906166219839,4.270772732565461e-06,0.5233022636484687,762.0,0.9765793225114873,0.0,0.638339338738281,3.245849619845644e-88,-0.042164073880826415,0.07747430218064677,0.3113376395646335,0.3459139139658018,0.09252247117189666,rough_cond_carry,bf25,PASS
0.03,1,2025-09-05,762.0,0.0002776893498455232,0.5712401055408971,0.0010436281152687832,0.5006587615283268,0.0002784127335997529,0.5731225296442688,0.000601444987101888,0.5428194993412385,0.00028220843071586043,0.5770750988142292,0.000718595282876117,0.5659630606860159,0.0010229020439136323,0.5559947299077734,0.000685647541898136,0.5928853754940712,0.0007040389056397102,0.6021080368906456,0.0006690677675439234,0.6021080368906456,3.929212797250517e-06,0.4786666666666667,3.929212797250517e-06,0.4786666666666667,3.929212797250517e-06,0.4786666666666667,3.929212797250517e-06,0.4786666666666667,3.988610878324777e-06,0.506631299734748,762.0,0.9247035157402614,3.6926e-320,0.713575434445356,2.911965197866073e-119,-0.04304248284834397,0.03340245004136901,0.21394809298292697,0.5257477457394834,0.045850204924961974,rough_cond_carry,bf25,PASS
0.03,1,2025-09-08,381.0,0.0002669175349738772,0.536,0.000817001230609513,0.5517241379310345,0.0002737064518805264,0.5358090185676393,0.0006310824528914303,0.5411140583554377,0.00027074979803519433,0.5490716180371353,0.0010554773726082576,0.5413333333333333,0.0015233199278916942,0.5358090185676393,0.001093140241729629,0.5517241379310345,0.0015510043006604357,0.53315649867374,0.0011135620222208216,0.5517241379310345,5.95735868888284e-06,0.48517520215633425,5.95735868888284e-06,0.48517520215633425,5.95735868888284e-06,0.48517520215633425,5.95735868888284e-06,0.48517520215633425,6.12509913860109e-06,0.48533333333333334,381.0,0.8589356988295719,1.260593718694035e-111,0.7589208881157739,3.1510508554108106e-72,-0.05380568784485365,0.025485731662925712,0.23331615446692391,0.6623910254400075,-0.025434510727493555,rough_cond_carry,rr25,FAIL
0.03,1,2025-09-09,381.0,0.000317567341969142,0.5862068965517241,0.002716911080307218,0.5132275132275133,0.00032226939766563753,0.5714285714285714,0.0013864013474177604,0.5185185185185185,0.00032099922732339566,0.5793650793650794,0.0019181561423902485,0.53315649867374,0.004272253361970736,0.4947089947089947,0.0019411284318326656,0.5185185185185185,0.003468586414705706,0.4894179894179894,0.0020619375202893526,0.5238095238095238,1.298356034346433e-05,0.4613333333333333,1.298356034346433e-05,0.4613333333333333,1.298356034346433e-05,0.4613333333333333,1.298356034346433e-05,0.4613333333333333,1.4260137850928786e-05,0.4960212201591512,381.0,0.9487457737199436,1.0942136839980445e-190,0.8661279820755428,1.345879929957714e-115,-0.04860770856330963,0.047338842265100475,0.21456497037726688,1.0590398616890802,-0.011976235372471248,rough_cond_carry,bf25,FAIL
0.03,1,2025-09-10,762.0,0.0005813034415828758,0.6047745358090185,0.003275243899244667,0.5099075297225891,0.0006141819842832666,0.6129458388375165,0.0013586614598623278,0.5178335535006605,0.0006429604832226332,0.5785997357992074,0.0022368831780335417,0.5674603174603174,0.004692737186062651,0.5224274406332454,0.0022076389115304566,0.5620052770448549,0.003607982997474743,0.5052770448548812,0.0022550713940270506,0.5567282321899736,1.4252218044936805e-05,0.5066489361702128,1.4252218044936805e-05,0.5066489361702128,1.4252218044936805e-05,0.5066489361702128,1.4252218044936805e-05,0.5066489361702128,1.5066361974383753e-05,0.4894179894179894,762.0,0.9045046050356702,9.03968864313673e-283,0.8736214731314378,2.518032412650915e-239,-0.051943623035237786,0.06983745581199229,0.275026019296164,1.177271602613819,0.013073667319897292,rough_cond_carry,bf25,MARGINAL
0.03,1,2025-09-11,762.0,0.0002689377043331011,0.6013157894736842,0.0026029233261717546,0.5131578947368421,0.0002732252142144214,0.6026315789473684,0.0010483375340091024,0.5407894736842105,0.0002712275805016779,0.5973684210526315,0.0017745990869166592,0.5921052631578947,0.004259257758291366,0.5328947368421053,0.0018172349902399493,0.5460526315789473,0.002510868547920197,0.5697368421052632,0.001794519439330314,0.5592105263157895,1.075484957088015e-05,0.5197368421052632,1.075484957088015e-05,0.5197368421052632,1.075484957088015e-05,0.5197368421052632,1.075484957088015e-05,0.5197368421052632,1.1188102230926443e-05,0.49078947368421055,762.0,0.9008379328116087,6.955746778197457e-277,0.8976065508110811,6.950735427040218e-272,-0.05085228207697502,0.06454480496933851,0.27488971743836893,0.8920933667076444,-0.01594239042068235,rough_cond_carry,rr25,FAIL
